int	string
id	word
主键	屏蔽词
595	张高丽
596	刘奇褒
597	赵乐际
598	栗战书
599	杜青林
600	赵洪祝
601	杨晶
602	马凯
603	王沪宁
604	刘延东
605	许其亮
606	孙春兰
607	孙政才
608	李建国
609	李源潮
610	张春贤
611	范长龙
612	孟建柱
613	赵乐际
614	胡春华
615	郭金龙
616	韩正
617	常万全
618	房峰辉
619	张阳
620	赵克石
621	张又侠
622	吴胜利
623	马晓天
624	魏凤和
625	彭丽媛
626	梁光烈
627	习仲勋
628	莫言
629	西哈努克
630	多党执政
631	虐童
632	斯巴达
633	西藏3.14事件
634	新疆7.5事件
635	性事
636	dork
637	滥交
638	乱交
639	嫖妓
640	西藏3•14事件
641	新疆7•5事件
642	西藏3.14事件
643	新疆7.5事件
644	西藏3.15事件
645	新疆7.5事件
646	西藏3·15事件
647	西藏3·14事件
648	新疆7·5事件
649	全国人民代表大会
650	中华全国总工会
651	中央委员
652	国务委员
653	中央军事委员会
654	多里坤。艾沙本
655	反封锁
656	反封锁技术
657	反腐败论坛
658	反人类
659	法轮功
660	冯东海
661	冯素英
662	傅作义
663	干bi
664	干逼
665	干比
666	干的你
667	干干干
668	膏药旗
669	戈瑞
670	狗养
671	狗杂种
672	古龙
673	祭坛
674	骨狮
675	关卓中
676	贯通两级法
677	钟山风雨论坛
678	周守训
679	朱凤芝
680	朱立伦
681	朱溶剂
682	主攻指挥官
683	主义
684	助手威尔特
685	中国之春
686	中国猪
687	中华大地
688	中华大众
689	中华人民实话实说
690	中华人民正邪
691	中华时事
692	中华养生益智功
693	中华真实报道
694	中央电视台
695	贼民
696	扎卡维是英雄
697	张伯笠
698	张博雅
699	张刚
700	张建
701	张林
702	张清芳
703	张伟国
704	港独
705	血腥鎮壓
706	一黨
707	中國官方
708	獨裁政權
709	六四天安門
710	大屠殺
711	李鵬
712	專制
713	吾爾開希
714	高自聯
715	六四鎮壓
716	北高聯
717	天安門清场
718	第廿七軍
719	六四運\動
720	天安門大屠殺
721	八九民運\
722	八九學運\
723	抗議鎮壓
724	反革命暴亂
725	向學生開槍
726	趙紫陽
727	罷課潮
728	烰嬅
729	獨立
730	達賴
731	臺灣獨立
732	藏獨
733	西藏獨立
734	疆獨
735	新疆獨立
736	台灣
737	李红痔
738	李宏志
739	李宏治
740	共铲
741	供产傥
742	供残傥
743	产傥
744	反黨
745	褪出
746	明Hui
747	minghui
748	氵去车人
749	氵去车仑工
750	氵去luｎ工
751	氵去luｎ功
752	氵去luｎ工力
753	法輪
754	法谪
755	法谪功
756	发抡功
757	法一轮
758	法十轮十功
759	珐.輪功
760	法lun功
761	法L功
762	多黨
763	发轮
764	发伦
765	发抡
766	发沦
767	发囵
768	发仑
769	发纶
770	法纶
771	法沦
772	法抡
773	法愣
774	fa轮
775	下法轮
776	发论
777	抡功
778	伦功
779	轮大
780	法功
781	胡紧掏
782	胡锦滔
783	胡锦淘
784	江八点
785	江流氓
786	江则民
787	江泽慧
788	江贼
789	江独裁
790	江贼民
791	江折民
792	江澤民
793	江猪
794	江猪媳
795	江core
796	江ze民
797	江蛤蟆
798	将则民
799	僵贼
800	僵贼民
801	酱猪媳
802	毛厕洞
803	毛贼东
804	温加保
805	封杀酱猪媳
806	共黨
807	鄧小平
808	共產黨
809	黑社會
810	高幹
811	溫家寶
812	吳邦國
813	曾慶紅
814	黃菊
815	羅幹
816	賈慶林
817	朱溶剂
818	邓笑贫
819	美國之音
820	江澤泯
821	毛猪席
822	毛澤
823	朱榮機
824	大紀元
825	活摘人體
826	车仑工力
827	砝仑大砝
828	砝伦
829	砝轮
830	江昏君
831	江二世
832	江魔头
833	江浙.民
834	法論
835	法论功
836	法伦
837	猪聋畸
838	供谠
839	胡紧套
840	胡錦\濤
841	fa车仑工
842	正攵氵台
843	鎮壓
844	學生運\動
845	還權
846	tianandoor
847	學運\
848	m泽东
849	猪容鸡
850	胡紧逃
851	曾q红
852	温jb
853	胡jt
854	湖竟套
855	江戏子
856	李月月鸟
857	江路线
858	虎劲涛
859	瘟家饱
860	被增长
861	被自愿
862	反中游行
863	谭豁子
864	三呆婊
865	胡锦套
866	胡金淘
867	江泽泯
868	朱容鸡
869	腐败症腐
870	九.评
871	九一评
872	ufco.net
873	退党
874	tuidang.epochtimes
875	三退热线
876	大纪元
877	大记元
878	大一纪
879	大纪园
880	共一党
881	邓颖超日记
882	人民内情真相
883	南大自由论坛
884	木子论坛
885	反社会
886	反人类
887	共狗
888	卖国
889	高薪养廉
890	独立中文笔会
891	邪党
892	中共暴政
893	9评
894	9平视频
895	退出党
896	腐败无救
897	灭中共
898	党邪恶
899	中共暴力
900	党的暴力
901	中国新民党
902	中国网民党
903	愚民政策
904	反民众
905	官僚精英
906	反共复国
907	收复大陆
908	消灭共产帝国
909	反共产
910	诛共匪
911	灭共党
912	反攻大陆
913	铲除共匪
914	pilibaoliao.4pu
915	藏字石
916	中共专制
917	专制当局
918	内人党
919	挖肃
920	八路匪
921	sites.google.comsitezhongyuanxue
922	退出傥
923	共产专制
924	共产小丑
925	共产极权
926	共产王朝
927	共产无赖
928	中共迫害
929	中共走狗
930	中共恶霸
931	中共独枭
932	政治恶棍
933	政治小丑
934	共产党独裁
935	反封锁
936	反对党
937	贪污犯
938	官场经济
939	政府腐败
940	中共当局
941	洋奴哲学
942	联动分子
943	镇压群众
944	反共复民
945	反共复清
946	中国09年将面临更大的政治压力
947	中国09年面临更大的政治压力
948	达赖喇嘛流亡50周年
949	敏感的政治纪念日
950	公产档
951	工产谠
952	愚民教育
953	土共独裁
954	人权是奢侈
955	国营腐败
956	农村腐败
957	共惨党
958	中国民主党
959	民主流氓
960	中国过度政府
961	中華民國
962	共产党是骗子
963	反抗共产党
964	反对共产党
965	冤民大同盟
966	未来中国论坛
967	中国国家党
968	鲁迅公园绝食活动
969	香港民主派
970	土匪政权
971	供产档
972	拱产档
973	拱产谠
974	我恨警察
975	邪恶的党
976	杀人党
977	公产谠
978	大己元
979	大季元
980	中共独裁
981	贪官卖国
982	党的暴政
983	大gi元
984	脱离党
985	互害社会
986	中国政府不害怕互联网
987	中共邪灵
988	才有新中国
989	才能有新中国
990	gc党
991	党亡
992	中共谎言
993	公产党
994	共産党
995	退dang
996	tui党
997	共chan党
998	恶谠
999	gong惨谠
1000	共惨谠
1001	百年祸国
1002	退出共产党
1003	邪恶的共产党
1004	解体党文化
1005	解体中共
1006	恶党
1007	中共邪恶
1008	官腐民盗
1009	党震
1010	共产党倒台
1011	混帐政府
1012	脑残教育
1013	反華
1014	communistparty
1015	退共
1016	邪恶组织
1017	共产邪恶
1018	中共黑帮
1019	淫官
1020	伪共党
1021	蛮横的政策
1022	土匪控制社会
1023	土匪控制流氓
1024	流氓控制农民
1025	党是喝人血
1026	党喝人血
1027	中共维稳
1028	变态帝制
1029	褪党
1030	党徒
1031	天亡中共
1032	天亡中一共
1033	共一产一党
1034	党的腐败
1035	党腐败
1036	共餐党
1037	供产当
1038	共产当
1039	供惨谠
1040	工产党
1041	供产党
1042	共产谠
1043	拱产党
1044	多妻养德
1045	中共治下的中国
1046	腐败大业
1047	共产党邪教
1048	党的邪教
1049	共产主义歪理邪说
1050	喝血社会
1051	中共喉舌
1052	假恶斗
1053	摆脱党文化
1054	退.党
1055	中共散毒
1056	党文化污染
1057	被党整
1058	党打死
1059	党迫害
1060	党欺骗
1061	党收瓜光
1062	中共利用
1063	中共迷惑
1064	中共灭口
1065	中共歪曲
1066	中共愚弄
1067	促退队
1068	共产.党
1069	党下台
1070	亡党
1071	zhong共
1072	中共灭亡
1073	退出中共
1074	杀人如麻的中共
1075	中共政治迫害
1076	共.产.党
1077	唾党妈
1078	退出了中共
1079	退出了共产党
1080	退出中国共产党
1081	黑心党
1082	shenshou.org
1083	中共镇压
1084	中共装阔
1085	中共装摸作样
1086	中共罪行
1087	中共作恶
1088	中共亵渎
1089	中共戕害
1090	中共鎮压
1091	暴虐统治
1092	腐财横行
1093	共產党
1094	党的流氓本性
1095	党的杀人历史
1096	党的邪恶
1097	党根本没有人权
1098	党走入坟墓
1099	共奴
1100	被党整过
1101	告别中共
1102	拱.铲.谠
1103	拱.铲谠
1104	拱铲谠
1105	拱铲.谠
1106	花季护航
1107	绿坝娘
1108	蓝坝娘
1109	谠亡
1110	亡谠
1111	退谠
1112	褪谠
1113	拱产当
1114	拱铲党
1115	拱铲档
1116	拱铲当
1117	拱铲dang
1118	拱chan谠
1119	拱chan党
1120	拱chan档
1121	拱chan当
1122	拱chandang
1123	拱惨党
1124	拱惨档
1125	拱惨当
1126	拱惨dang
1127	拱産谠
1128	拱産党
1129	拱産档
1130	拱産当
1131	拱産dang
1132	拱产dang
1133	拱掺谠
1134	拱掺党
1135	拱掺档
1136	拱掺当
1137	拱掺dang
1138	共铲谠
1139	共铲党
1140	共铲档
1141	共铲当
1142	共铲dang
1143	共chan谠
1144	共chan档
1145	共chan当
1146	共chandang
1147	共惨档
1148	共惨当
1149	共惨dang
1150	共産谠
1151	共産档
1152	共産当
1153	共産dang
1154	共产档
1155	共产dang
1156	共掺谠
1157	共掺党
1158	共掺档
1159	共掺当
1160	共掺dang
1161	工铲谠
1162	工铲党
1163	工铲档
1164	工铲当
1165	工铲dang
1166	工chan谠
1167	工chan党
1168	工chan档
1169	工chan当
1170	工chandang
1171	工惨谠
1172	工惨党
1173	工惨档
1174	工惨当
1175	工惨dang
1176	工産谠
1177	工産党
1178	工産档
1179	工産当
1180	工産dang
1181	工产档
1182	工产当
1183	工产dang
1184	工掺谠
1185	工掺党
1186	工掺档
1187	工掺当
1188	工掺dang
1189	供铲谠
1190	供铲党
1191	供铲档
1192	供铲当
1193	供铲dang
1194	供chan谠
1195	供chan党
1196	供chan档
1197	供chan当
1198	供chandang
1199	供惨党
1200	供惨档
1201	供惨当
1202	供惨dang
1203	供産谠
1204	供産党
1205	供産档
1206	供産当
1207	供産dang
1208	供产谠
1209	供产dang
1210	供掺谠
1211	供掺党
1212	供掺档
1213	供掺当
1214	供掺dang
1215	公铲谠
1216	公铲党
1217	公铲档
1218	公铲当
1219	公铲dang
1220	公chan谠
1221	公chan党
1222	公chan档
1223	公chan当
1224	公chandang
1225	公惨谠
1226	公惨党
1227	公惨档
1228	公惨当
1229	公惨dang
1230	公産谠
1231	公産党
1232	公産档
1233	公産当
1234	公産dang
1235	公产当
1236	公产dang
1237	公掺谠
1238	公掺党
1239	公掺档
1240	公掺当
1241	公掺dang
1242	gong铲谠
1243	gong铲党
1244	gong铲档
1245	gong铲当
1246	gong铲dang
1247	gongchan谠
1248	gongchan党
1249	gongchan档
1250	gongchan当
1251	gong惨党
1252	gong惨档
1253	gong惨当
1254	gong惨dang
1255	gong産谠
1256	gong産党
1257	gong産档
1258	gong産当
1259	gong産dang
1260	gong产谠
1261	gong产党
1262	gong产档
1263	gong产当
1264	gong产dang
1265	gong掺谠
1266	gong掺党
1267	gong掺档
1268	gong掺当
1269	gong掺dang
1270	功铲谠
1271	功铲党
1272	功铲档
1273	功铲当
1274	功铲dang
1275	功chan谠
1276	功chan党
1277	功chan档
1278	功chan当
1279	功chandang
1280	功惨谠
1281	功惨党
1282	功惨档
